"Timestamp","Sex","Birthday","Horoscope","Height (cm)","Weight (kg)","Body State","Relationship Status","Relationship Period (Starting Date)","Hometown ","Hobby (Select 3)","Favourite Colour","Movie Preferences","Field of Work/ Study","Family Economy Status","How do you get your energy?","How do you see the world and gather information. ","How do you make your decisions","How much do you plan ahead?","Gift Preferences (Choose 3)"
"2021/05/13 1:41:01 PM GMT+8","Male","1999-06-23","Cancer (Jun 21-Jul 22)","170","72","Normal","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Performing Arts (drawing, sculpting, cooking)","Blue","Action;Fantasy;Mystery;Thriller","Science","M40 (Middle 40%)","I","S","T","J","Technology Gadgets;Vacation;Accompaniment (Pets, etc..)"
"2021/05/14 12:53:02 PM GMT+8","Male","2021-05-14","Pisces (Feb 19-Mar 20)","175","63","Slim","In a Relationship","2019-04-01","Northern Region: Perlis, Kedah, Penang, Perak.","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","Green","Comedy;Fantasy;Mystery","Science","M40 (Middle 40%)","E","S","T","J","Food and Snacks;Outfit (T-shirt, shoes, etc..);Cash"
"2021/05/14 12:57:27 PM GMT+8","Male","1999-03-31","Aries (Mar 21-Apr 19)","158","64","Slightly overweight","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Games (board and computer games);Model & Electronic (tinkering electronics, cars);Music (performing or listening)","Blue","Comedy;Horror;Mystery;Thriller","Science","B40 (Bottom 40%)","I","N","T","P","Technology Gadgets;Cosmetics (Lipstick, perfumes, etc..);Hand Made Gift (handmade photobook, etc..)"
"2021/05/14 12:58:11 PM GMT+8","Female","1999-10-30","Scorpio (Oct 23-Nov 21)","150","40","Normal","Single","","Southern Region: Negeri Sembilan, Malacca, Johor.","Arts & Crafts (embroidery, knitting, drawing);Performing Arts (drawing, sculpting, cooking);Music (performing or listening)","Blue","Action;Comedy;Drama;Fantasy;Mystery;Romance","Science","B40 (Bottom 40%)","I","S","T","J","Technology Gadgets;Hand Made Gift (handmade photobook, etc..);Cash"
"2021/05/14 12:58:45 PM GMT+8","Female","1999-04-08","Aries (Mar 21-Apr 19)","160","50","Slim","In a Relationship","2019-11-01","Central Region: Selangor, federal territories of Kuala Lumpur and Putrajaya.","Arts & Crafts (embroidery, knitting, drawing);Games (board and computer games);Model & Electronic (tinkering electronics, cars)","Red","Comedy;Drama;Romance","Science","M40 (Middle 40%)","I","N","T","P","Technology Gadgets;Outfit (T-shirt, shoes, etc..);Vacation"
"2021/05/14 12:59:37 PM GMT+8","Male","1999-04-19","Aries (Mar 21-Apr 19)","173","60","Slim","Single","","Southern Region: Negeri Sembilan, Malacca, Johor.","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Spiritual and Mental (meditation, self-enrichment sessions)","Red","Action;Comedy;Fantasy;Mystery","Art","M40 (Middle 40%)","I","N","T","P","Food and Snacks;Vacation;Cash"
"2021/05/14 1:00:24 PM GMT+8","Male","1999-07-04","Cancer (Jun 21-Jul 22)","179","63","Slim","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Arts & Crafts (embroidery, knitting, drawing);Games (board and computer games);Sports & Outdoors (e-sports doesn't count)","Blue","Action;Comedy;Fantasy;Mystery","Science","B40 (Bottom 40%)","I","S","T","J","Food and Snacks;Technology Gadgets;Hand Made Gift (handmade photobook, etc..)"
"2021/05/14 1:00:37 PM GMT+8","Female","2000-05-16","Taurus (Apr 20-May 20)","150","49","Normal","Single","","East Coast Region: Kelantan, Terengganu, Pahang,","Sports & Outdoors (e-sports doesn't count);Music (performing or listening);Spiritual and Mental (meditation, self-enrichment sessions)","Yellow","Drama;Fantasy;Romance","Science","M40 (Middle 40%)","I","S","T","J","Food and Snacks;Vacation;Cash"
"2021/05/14 1:00:45 PM GMT+8","Female","2021-10-27","Scorpio (Oct 23-Nov 21)","170","55","Normal","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Arts & Crafts (embroidery, knitting, drawing);Games (board and computer games);Music (performing or listening)","Purple","Comedy;Drama;Fantasy;Romance","Art","M40 (Middle 40%)","E","N","F","P","Technology Gadgets;Cosmetics (Lipstick, perfumes, etc..);Hand Made Gift (handmade photobook, etc..)"
"2021/05/14 1:01:40 PM GMT+8","Female","1995-01-08","Capricorn (Dec 22-Jan 19)","168","60","Normal","In a Relationship","2015-04-25","East Coast Region: Kelantan, Terengganu, Pahang,","Sports & Outdoors (e-sports doesn't count);Performing Arts (drawing, sculpting, cooking);Music (performing or listening)","Purple","Action;Comedy;Drama;Fantasy;Horror;Mystery;Romance;Thriller;Western","Art","M40 (Middle 40%)","I","S","F","J","Cosmetics (Lipstick, perfumes, etc..);Vacation;Cash"
"2021/05/14 1:02:25 PM GMT+8","Female","2000-11-03","Scorpio (Oct 23-Nov 21)","160","44","Slim","In a Relationship","2017-12-30","East Coast Region: Kelantan, Terengganu, Pahang,","Arts & Crafts (embroidery, knitting, drawing);Performing Arts (drawing, sculpting, cooking);Music (performing or listening)","Yellow","Action;Drama;Horror;Mystery;Romance","Art","M40 (Middle 40%)","E","S","F","P","Cosmetics (Lipstick, perfumes, etc..);Jewelry (Necklace, Ring, etc..);Outfit (T-shirt, shoes, etc..)"
"2021/05/14 1:02:28 PM GMT+8","Female","2000-12-22","Capricorn (Dec 22-Jan 19)","168","60","Normal","Single","","Southern Region: Negeri Sembilan, Malacca, Johor.","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","Purple","Action;Comedy","Science","M40 (Middle 40%)","I","S","F","P","Technology Gadgets;Jewelry (Necklace, Ring, etc..);Vacation"
